0,train,1.390628785888354,0.2540
0,valid,1.3868351611495018,0.2331
1,train,1.387954106728236,0.2523
1,valid,1.3852830305695534,0.2519
2,train,1.386902198890845,0.2540
2,valid,1.3838783538341521,0.2981
3,train,1.3871644060810406,0.2567
3,valid,1.3824751234054566,0.3450
4,train,1.3853360427419346,0.2617
4,valid,1.3812583887577057,0.3538
5,train,1.381768280863762,0.2804
5,valid,1.3788015401363374,0.3631
6,train,1.3823057041565576,0.2752
6,valid,1.3744241514801978,0.3969
7,train,1.3816410767038663,0.2827
7,valid,1.3749871829152107,0.4000
8,train,1.3805495470762252,0.2852
8,valid,1.3742016303539275,0.3950
9,train,1.3788870708147685,0.2904
9,valid,1.3729071718454362,0.4306
10,train,1.3807156426707903,0.2881
10,valid,1.3729571694135665,0.4188
11,train,1.3813688697417577,0.2823
11,valid,1.3724578508734704,0.4269
12,train,1.3801625322302182,0.2879
12,valid,1.371796966791153,0.4194
13,train,1.3806015464663506,0.2896
13,valid,1.372160342335701,0.4113
14,train,1.381157301068306,0.2860
14,valid,1.3718912875652314,0.4200
15,train,1.3791105068723362,0.2923
15,valid,1.3714348822832108,0.4338
16,train,1.3796960444251696,0.2931
16,valid,1.371927961409092,0.4288
17,train,1.3806006746490795,0.2879
17,valid,1.3719499325752258,0.4188
18,train,1.380121966600418,0.2833
18,valid,1.371583942770958,0.4231
19,train,1.3810771076877912,0.2796
19,valid,1.3713443386554718,0.4306
20,train,1.3807832990090052,0.2779
20,valid,1.3714787331223488,0.4175
21,train,1.3793457514047622,0.2800
21,valid,1.3719700407981872,0.4200
22,train,1.379608351290226,0.2975
22,valid,1.3727487543225287,0.4100
23,train,1.380866442422072,0.2823
23,valid,1.3715844827890395,0.4200
24,train,1.3818822745482127,0.2771
24,valid,1.3720390921831132,0.4106
